LAT,LONGITUDE,IST_TIME,IST_DATE,SPEED_KMPH,Time_sec,Slot_no
12.93422,77.610359,00:00:13,2016-07-29,9,13,64
12.933778,77.610962,00:00:23,2016-07-29,16,23,65
12.977464,77.573792,00:01:14,2016-07-29,0,74,25
12.84689,77.67218000000003,00:01:15,2016-07-29,0,75,139
12.84692,77.672211,00:00:06,2016-07-29,0,6,139
12.846933,77.672234,00:00:16,2016-07-29,0,16,139
12.846891,77.672188,00:00:26,2016-07-29,0,26,139
12.977465,77.573792,00:01:44,2016-07-29,0,104,25
12.977466,77.573792,00:02:04,2016-07-29,0,124,25
12.92996,77.61492199999998,00:02:02,2016-07-29,0,122,68
12.932008,77.613274,00:01:03,2016-07-29,16,63,66
12.924441,77.5923,00:01:59,2016-07-29,0,119,2
12.93173,77.613556,00:01:13,2016-07-29,11,73,67
12.977467,77.573792,00:02:43,2016-07-29,0,163,25
12.977468,77.573792,00:03:03,2016-07-29,0,183,25
12.926674,77.61692,00:03:12,2016-07-29,8,192,70
12.977469,77.573792,00:03:33,2016-07-29,0,213,25
12.97747,77.573792,00:04:03,2016-07-29,0,243,25
12.923847,77.618607,00:04:42,2016-07-29,15,282,2
12.921158,77.620338,00:05:32,2016-07-29,7,332,12
12.977471,77.573792,00:06:12,2016-07-29,0,372,25
12.977472,77.573792,00:06:53,2016-07-29,0,413,25
12.91629,77.62334399999997,00:07:01,2016-07-29,12,421,76
12.911948,77.626038,00:09:41,2016-07-29,0,581,82
12.907394,77.628822,00:10:50,2016-07-29,19,650,87
12.906667,77.629242,00:11:11,2016-07-29,7,671,87
12.905816,77.629738,00:11:31,2016-07-29,19,691,88
12.905345,77.630066,00:11:41,2016-07-29,18,701,89
12.896194,77.635796,00:13:10,2016-07-29,16,790,96
12.894307,77.636902,00:13:50,2016-07-29,0,830,98
12.977467,77.573784,00:16:20,2016-07-29,0,980,25
12.977466,77.573784,00:16:50,2016-07-29,0,1010,25
12.870263,77.653252,00:18:08,2016-07-29,18,1088,120
